win_T,lose_T,win_L,diff
Miami Heat,New York Knicks,H,23
Milwaukee Bucks,Philadelphia 76ers,H,15
Los Angeles Lakers,Phoenix Suns,A,18
Sacramento Kings,Memphis Grizzlies,H,5
Indiana Pacers,San Antonio Spurs,A,20
Toronto Raptors,Minnesota Timberwolves,H,7
Detroit Pistons,Cleveland Cavaliers,H,7
Los Angeles Lakers,Denver Nuggets,H,7
Boston Celtics,Oklahoma City Thunder,A,6
Portland Trail Blazers,Orlando Magic,A,14
Charlotte Hornets,Chicago Bulls,H,29
Los Angeles Clippers,Houston Rockets,A,20
Milwaukee Bucks,Minnesota Timberwolves,A,30
New Orleans Pelicans,Brooklyn Nets,H,2
Golden State Warriors,New York Knicks,A,28
Sacramento Kings,Washington Wizards,H,4
Toronto Raptors,Dallas Mavericks,H,9
Chicago Bulls,Atlanta Hawks,A,12
Indiana Pacers,Cleveland Cavaliers,A,12
Boston Celtics,Detroit Pistons,A,20
Memphis Grizzlies,Phoenix Suns,H,21
Miami Heat,Portland Trail Blazers,H,9
Milwaukee Bucks,Orlando Magic,H,22
Utah Jazz,New Orleans Pelicans,A,21
Philadelphia 76ers,Charlotte Hornets,H,2
San Antonio Spurs,Los Angeles Lakers,H,4
Golden State Warriors,Brooklyn Nets,A,6
Utah Jazz,Dallas Mavericks,A,9
Los Angeles Clippers,Washington Wizards,H,32
Oklahoma City Thunder,Phoenix Suns,H,7
Golden State Warriors,Chicago Bulls,A,25
Denver Nuggets,New Orleans Pelicans,H,5
Portland Trail Blazers,Indiana Pacers,A,10
Sacramento Kings,Miami Heat,A,10
Milwaukee Bucks,Toronto Raptors,H,15
Minnesota Timberwolves,Los Angeles Lakers,H,4
New York Knicks,Brooklyn Nets,H,19
Philadelphia 76ers,Atlanta Hawks,H,21
San Antonio Spurs,Dallas Mavericks,H,5
Boston Celtics,Detroit Pistons,H,3
Charlotte Hornets,Miami Heat,H,12
Cleveland Cavaliers,Atlanta Hawks,H,22
Portland Trail Blazers,Houston Rockets,A,19
Memphis Grizzlies,Washington Wizards,H,12
Oklahoma City Thunder,Los Angeles Clippers,H,18
Sacramento Kings,Orlando Magic,A,8
Toronto Raptors,Philadelphia 76ers,H,17
Brooklyn Nets,Detroit Pistons,H,1
Denver Nuggets,Chicago Bulls,A,1
Golden State Warriors,New Orleans Pelicans,H,10
Los Angeles Lakers,Dallas Mavericks,H,1
Minnesota Timberwolves,Utah Jazz,H,3
Indiana Pacers,New York Knicks,A,6
San Antonio Spurs,Phoenix Suns,A,30
Sacramento Kings,Atlanta Hawks,A,31
Boston Celtics,Milwaukee Bucks,H,4
Oklahoma City Thunder,Charlotte Hornets,A,4
Denver Nuggets,Cleveland Cavaliers,A,19
Philadelphia 76ers,Los Angeles Clippers,H,9
Portland Trail Blazers,New Orleans Pelicans,H,13
Houston Rockets,Brooklyn Nets,A,8
Indiana Pacers,Chicago Bulls,A,2
New York Knicks,Dallas Mavericks,A,12
Golden State Warriors,Minnesota Timberwolves,H,17
Los Angeles Clippers,Orlando Magic,A,25
Toronto Raptors,Phoenix Suns,A,9
Memphis Grizzlies,Utah Jazz,A,10
Oklahoma City Thunder,Washington Wizards,A,23
Atlanta Hawks,Miami Heat,H,5
Houston Rockets,Chicago Bulls,A,8
Charlotte Hornets,Cleveland Cavaliers,H,32
Denver Nuggets,Utah Jazz,H,15
Indiana Pacers,Boston Celtics,H,1
Philadelphia 76ers,Detroit Pistons,H,10
Los Angeles Lakers,Portland Trail Blazers,A,4
San Antonio Spurs,New Orleans Pelicans,H,14
Brooklyn Nets,Philadelphia 76ers,H,25
Toronto Raptors,Los Angeles Lakers,A,14
Milwaukee Bucks,Sacramento Kings,H,35
Phoenix Suns,Memphis Grizzlies,H,2
Portland Trail Blazers,Minnesota Timberwolves,H,30
Orlando Magic,San Antonio Spurs,A,7
Washington Wizards,New York Knicks,H,13
Denver Nuggets,Boston Celtics,H,8
Miami Heat,Detroit Pistons,A,5
Golden State Warriors,Memphis Grizzlies,H,16
Houston Rockets,Indiana Pacers,A,4
Los Angeles Clippers,Minnesota Timberwolves,H,11
Chicago Bulls,New York Knicks,A,1
Oklahoma City Thunder,New Orleans Pelicans,H,6
Orlando Magic,Cleveland Cavaliers,H,2
Toronto Raptors,Utah Jazz,A,13
Charlotte Hornets,Atlanta Hawks,H,11
Dallas Mavericks,Washington Wizards,H,19
Brooklyn Nets,Phoenix Suns,A,22
Portland Trail Blazers,Milwaukee Bucks,H,15
New York Knicks,Atlanta Hawks,A,5
Oklahoma City Thunder,Cleveland Cavaliers,A,9
Philadelphia 76ers,Indiana Pacers,A,6
Los Angeles Lakers,Minnesota Timberwolves,H,4
Memphis Grizzlies,Denver Nuggets,H,2
Miami Heat,San Antonio Spurs,H,7
New Orleans Pelicans,Chicago Bulls,H,9
Detroit Pistons,Orlando Magic,A,7
Toronto Raptors,Sacramento Kings,A,9
Utah Jazz,Dallas Mavericks,H,15
Milwaukee Bucks,Golden State Warriors,A,23
Oklahoma City Thunder,Houston Rockets,H,18
Boston Celtics,Phoenix Suns,A,7
Portland Trail Blazers,Los Angeles Clippers,H,11
Detroit Pistons,Atlanta Hawks,A,15
Brooklyn Nets,Denver Nuggets,A,2
Indiana Pacers,Miami Heat,A,8
Orlando Magic,Washington Wizards,H,9
Philadelphia 76ers,Charlotte Hornets,H,1
Sacramento Kings,Minnesota Timberwolves,H,11
Utah Jazz,Boston Celtics,H,8
Chicago Bulls,Cleveland Cavaliers,H,1
Dallas Mavericks,Oklahoma City Thunder,H,15
Golden State Warriors,Brooklyn Nets,H,16
Los Angeles Clippers,Milwaukee Bucks,H,2
Memphis Grizzlies,Philadelphia 76ers,H,6
Washington Wizards,Miami Heat,A,6
New Orleans Pelicans,Phoenix Suns,H,20
Los Angeles Lakers,Sacramento Kings,A,15
San Antonio Spurs,Houston Rockets,H,7
Toronto Raptors,New York Knicks,H,16
Milwaukee Bucks,Denver Nuggets,A,7
Charlotte Hornets,Detroit Pistons,A,10
Houston Rockets,Indiana Pacers,H,12
Los Angeles Lakers,Atlanta Hawks,H,1
Orlando Magic,New York Knicks,A,26
Portland Trail Blazers,Boston Celtics,H,6
Dallas Mavericks,Chicago Bulls,A,5
Los Angeles Clippers,Golden State Warriors,H,5
Utah Jazz,Memphis Grizzlies,A,8
Philadelphia 76ers,Miami Heat,A,10
Minnesota Timberwolves,Brooklyn Nets,H,7
Oklahoma City Thunder,Phoenix Suns,H,17
Sacramento Kings,San Antonio Spurs,H,5
New Orleans Pelicans,Toronto Raptors,A,16
Washington Wizards,Orlando Magic,H,8
Cleveland Cavaliers,Charlotte Hornets,H,24
Houston Rockets,Denver Nuggets,A,10
Golden State Warriors,Atlanta Hawks,H,7
Boston Celtics,Chicago Bulls,H,29
Miami Heat,Brooklyn Nets,A,13
Dallas Mavericks,Utah Jazz,H,50
Los Angeles Lakers,Portland Trail Blazers,H,9
Memphis Grizzlies,Milwaukee Bucks,A,3
Minnesota Timberwolves,New Orleans Pelicans,H,7
Oklahoma City Thunder,New York Knicks,H,25
Orlando Magic,Philadelphia 76ers,H,5
Phoenix Suns,San Antonio Spurs,H,20
Detroit Pistons,Toronto Raptors,A,2
Washington Wizards,Cleveland Cavaliers,H,24
Denver Nuggets,Atlanta Hawks,H,45
Houston Rockets,Golden State Warriors,H,21
Los Angeles Clippers,San Antonio Spurs,H,5
Boston Celtics,Toronto Raptors,H,7
Indiana Pacers,Miami Heat,H,8
Memphis Grizzlies,Sacramento Kings,H,8
Milwaukee Bucks,Chicago Bulls,H,19
Minnesota Timberwolves,Portland Trail Blazers,H,16
New Orleans Pelicans,New York Knicks,H,5
Philadelphia 76ers,Utah Jazz,H,6
Brooklyn Nets,Washington Wizards,A,11
Utah Jazz,Boston Celtics,A,12
Los Angeles Clippers,Brooklyn Nets,A,8
Toronto Raptors,Chicago Bulls,A,39
Philadelphia 76ers,Charlotte Hornets,A,3
Dallas Mavericks,Golden State Warriors,H,3
Houston Rockets,Sacramento Kings,H,20
Indiana Pacers,Atlanta Hawks,H,8
New Orleans Pelicans,Denver Nuggets,H,10
Orlando Magic,Los Angeles Lakers,H,13
Oklahoma City Thunder,Phoenix Suns,A,10
Los Angeles Lakers,Miami Heat,A,16
Memphis Grizzlies,Minnesota Timberwolves,A,13
Orlando Magic,New York Knicks,H,14
San Antonio Spurs,Golden State Warriors,H,12
Portland Trail Blazers,Washington Wizards,A,10
Los Angeles Clippers,Atlanta Hawks,A,8
Charlotte Hornets,Boston Celtics,H,5
Detroit Pistons,Cleveland Cavaliers,H,11
Indiana Pacers,Utah Jazz,H,27
Memphis Grizzlies,Dallas Mavericks,H,10
Milwaukee Bucks,Denver Nuggets,H,6
New Orleans Pelicans,San Antonio Spurs,H,14
Philadelphia 76ers,Phoenix Suns,H,5
Sacramento Kings,Oklahoma City Thunder,H,4
Brooklyn Nets,Miami Heat,A,12
Portland Trail Blazers,New York Knicks,A,4
Toronto Raptors,Orlando Magic,A,2
Washington Wizards,Los Angeles Clippers,H,7
Toronto Raptors,Atlanta Hawks,A,16
New York Knicks,Boston Celtics,A,8
Chicago Bulls,Phoenix Suns,H,8
Charlotte Hornets,Indiana Pacers,H,18
Los Angeles Lakers,Cleveland Cavaliers,A,4
Dallas Mavericks,Brooklyn Nets,H,6
Oklahoma City Thunder,Golden State Warriors,A,28
Houston Rockets,Detroit Pistons,H,2
Milwaukee Bucks,Portland Trail Blazers,H,43
Denver Nuggets,Minnesota Timberwolves,A,2
Philadelphia 76ers,New Orleans Pelicans,H,1
Memphis Grizzlies,San Antonio Spurs,A,1
Sacramento Kings,Utah Jazz,A,9
Boston Celtics,Atlanta Hawks,A,18
Minnesota Timberwolves,Brooklyn Nets,A,10
Miami Heat,Chicago Bulls,A,7
Denver Nuggets,Orlando Magic,H,25
Detroit Pistons,Houston Rockets,H,5
Golden State Warriors,Portland Trail Blazers,H,28
San Antonio Spurs,Indiana Pacers,A,11
Los Angeles Clippers,Memphis Grizzlies,H,5
Los Angeles Lakers,Utah Jazz,H,7
Phoenix Suns,Milwaukee Bucks,A,2
New York Knicks,New Orleans Pelicans,H,5
Oklahoma City Thunder,Charlotte Hornets,H,5
Cleveland Cavaliers,Philadelphia 76ers,A,9
Toronto Raptors,Washington Wizards,H,18
Cleveland Cavaliers,Houston Rockets,H,9
Dallas Mavericks,Boston Celtics,H,9
Golden State Warriors,Sacramento Kings,H,1
Milwaukee Bucks,San Antonio Spurs,H,6
Minnesota Timberwolves,Chicago Bulls,H,15
Denver Nuggets,Oklahoma City Thunder,A,7
Washington Wizards,New Orleans Pelicans,H,10
Atlanta Hawks,Charlotte Hornets,H,1
Philadelphia 76ers,Brooklyn Nets,A,2
Detroit Pistons,Phoenix Suns,H,11
Orlando Magic,Los Angeles Lakers,A,4
New York Knicks,Memphis Grizzlies,A,5
Los Angeles Clippers,Portland Trail Blazers,A,4
Utah Jazz,Sacramento Kings,A,21
Toronto Raptors,Miami Heat,H,10
San Antonio Spurs,Chicago Bulls,A,1
Charlotte Hornets,Milwaukee Bucks,H,3
Minnesota Timberwolves,Cleveland Cavaliers,A,7
Golden State Warriors,Orlando Magic,H,6
Boston Celtics,New Orleans Pelicans,A,17
Indiana Pacers,Utah Jazz,A,33
Washington Wizards,Houston Rockets,H,4
Denver Nuggets,Los Angeles Lakers,H,32
Detroit Pistons,New York Knicks,H,7
Toronto Raptors,Memphis Grizzlies,A,8
Atlanta Hawks,Miami Heat,A,2
Indiana Pacers,Phoenix Suns,A,5
Utah Jazz,Brooklyn Nets,A,10
Charlotte Hornets,Atlanta Hawks,H,14
Dallas Mavericks,Houston Rockets,A,20
Los Angeles Clippers,Phoenix Suns,H,16
Milwaukee Bucks,Chicago Bulls,H,3
Minnesota Timberwolves,San Antonio Spurs,H,39
New Orleans Pelicans,Washington Wizards,H,21
Oklahoma City Thunder,Cleveland Cavaliers,H,17
Philadelphia 76ers,New York Knicks,H,26
Portland Trail Blazers,Orlando Magic,H,3
Los Angeles Lakers,Indiana Pacers,H,8
Los Angeles Clippers,Sacramento Kings,A,12
Toronto Raptors,Golden State Warriors,H,3
Boston Celtics,Cleveland Cavaliers,H,33
Memphis Grizzlies,Brooklyn Nets,A,6
Utah Jazz,Charlotte Hornets,A,8
Detroit Pistons,Chicago Bulls,H,19
Los Angeles Lakers,Dallas Mavericks,H,11
Miami Heat,New Orleans Pelicans,H,5
Oklahoma City Thunder,Atlanta Hawks,H,15
Philadelphia 76ers,Washington Wizards,H,25
Orlando Magic,Phoenix Suns,A,14
Denver Nuggets,Portland Trail Blazers,A,1
Houston Rockets,San Antonio Spurs,A,31
Toronto Raptors,Cleveland Cavaliers,A,11
Detroit Pistons,Golden State Warriors,H,9
Houston Rockets,Chicago Bulls,H,16
Boston Celtics,Minnesota Timberwolves,A,9
New York Knicks,Milwaukee Bucks,H,2
Sacramento Kings,Indiana Pacers,H,1
Washington Wizards,Brooklyn Nets,H,14
New Orleans Pelicans,Charlotte Hornets,A,10
Dallas Mavericks,Los Angeles Clippers,H,4
Los Angeles Lakers,Phoenix Suns,H,24
Miami Heat,Utah Jazz,H,2
Philadelphia 76ers,Memphis Grizzlies,H,8
San Antonio Spurs,Portland Trail Blazers,H,13
Golden State Warriors,Atlanta Hawks,A,17
Cleveland Cavaliers,Brooklyn Nets,A,2
Oklahoma City Thunder,Detroit Pistons,A,27
Minnesota Timberwolves,Houston Rockets,H,12
Los Angeles Clippers,New Orleans Pelicans,A,3
Washington Wizards,New York Knicks,A,3
Denver Nuggets,Toronto Raptors,A,3
Dallas Mavericks,Portland Trail Blazers,H,9
Indiana Pacers,Chicago Bulls,H,6
Orlando Magic,Miami Heat,A,15
Sacramento Kings,Phoenix Suns,A,17
Utah Jazz,San Antonio Spurs,H,34
Washington Wizards,Atlanta Hawks,A,14
Oklahoma City Thunder,Brooklyn Nets,A,2
Golden State Warriors,Cleveland Cavaliers,A,24
Los Angeles Lakers,San Antonio Spurs,H,8
Memphis Grizzlies,Los Angeles Clippers,H,10
Milwaukee Bucks,Detroit Pistons,H,23
Minnesota Timberwolves,Charlotte Hornets,H,17
New Orleans Pelicans,Dallas Mavericks,H,26
Denver Nuggets,Orlando Magic,A,6
Toronto Raptors,Philadelphia 76ers,H,11
Boston Celtics,New York Knicks,H,28
Portland Trail Blazers,Phoenix Suns,H,22
Utah Jazz,Houston Rockets,H,27
Brooklyn Nets,Toronto Raptors,H,1
Chicago Bulls,Oklahoma City Thunder,H,2
Charlotte Hornets,Denver Nuggets,H,6
Sacramento Kings,Cleveland Cavaliers,A,19
Philadelphia 76ers,Detroit Pistons,A,6
Golden State Warriors,Milwaukee Bucks,A,10
Memphis Grizzlies,New Orleans Pelicans,A,4
Indiana Pacers,Orlando Magic,A,22
Miami Heat,Phoenix Suns,A,17
San Antonio Spurs,Los Angeles Lakers,H,13
Atlanta Hawks,Denver Nuggets,H,8
Boston Celtics,Chicago Bulls,A,56
Cleveland Cavaliers,Washington Wizards,H,15
Dallas Mavericks,Houston Rockets,H,3
Indiana Pacers,Sacramento Kings,H,10
Miami Heat,Los Angeles Clippers,A,23
Los Angeles Lakers,Memphis Grizzlies,A,23
Brooklyn Nets,New York Knicks,A,8
Portland Trail Blazers,Minnesota Timberwolves,H,8
New Orleans Pelicans,Detroit Pistons,A,8
Charlotte Hornets,New York Knicks,A,12
San Antonio Spurs,Utah Jazz,H,13
Milwaukee Bucks,Toronto Raptors,A,5
Boston Celtics,New Orleans Pelicans,H,13
Sacramento Kings,Chicago Bulls,A,19
Dallas Mavericks,Orlando Magic,H,25
Denver Nuggets,Memphis Grizzlies,H,6
Golden State Warriors,Minnesota Timberwolves,H,8
Indiana Pacers,Washington Wizards,H,8
Los Angeles Lakers,Miami Heat,H,3
Milwaukee Bucks,Cleveland Cavaliers,H,16
Oklahoma City Thunder,Utah Jazz,H,9
Philadelphia 76ers,Detroit Pistons,H,14
Los Angeles Clippers,Phoenix Suns,A,4
Houston Rockets,Portland Trail Blazers,H,7
Toronto Raptors,Los Angeles Clippers,A,24
San Antonio Spurs,Phoenix Suns,H,25
Charlotte Hornets,Detroit Pistons,H,1
Cleveland Cavaliers,New York Knicks,H,7
Dallas Mavericks,Atlanta Hawks,H,7
Toronto Raptors,Golden State Warriors,A,20
Indiana Pacers,Milwaukee Bucks,H,16
Memphis Grizzlies,Portland Trail Blazers,H,9
New Orleans Pelicans,Oklahoma City Thunder,H,4
Brooklyn Nets,Philadelphia 76ers,A,3
Sacramento Kings,Minnesota Timberwolves,H,11
Utah Jazz,Miami Heat,H,27
Boston Celtics,Washington Wizards,A,5
Houston Rockets,Los Angeles Lakers,H,15
Orlando Magic,Chicago Bulls,H,6
Phoenix Suns,Dallas Mavericks,H,10
San Antonio Spurs,Los Angeles Clippers,H,38
Boston Celtics,Atlanta Hawks,H,21
Brooklyn Nets,Washington Wizards,H,7
New York Knicks,Charlotte Hornets,A,2
Milwaukee Bucks,Cleveland Cavaliers,A,12
Denver Nuggets,Oklahoma City Thunder,H,11
Miami Heat,Memphis Grizzlies,A,3
Indiana Pacers,Philadelphia 76ers,A,12
Portland Trail Blazers,Toronto Raptors,H,6
Golden State Warriors,Sacramento Kings,A,5
Los Angeles Lakers,Charlotte Hornets,A,28
Detroit Pistons,Boston Celtics,H,9
Houston Rockets,Memphis Grizzlies,A,8
Oklahoma City Thunder,Los Angeles Clippers,H,6
Orlando Magic,Utah Jazz,H,7
Phoenix Suns,Minnesota Timberwolves,H,8
Chicago Bulls,San Antonio Spurs,A,5
Brooklyn Nets,Atlanta Hawks,H,17
Philadelphia 76ers,Cleveland Cavaliers,A,23
Sacramento Kings,Dallas Mavericks,A,7
Denver Nuggets,Toronto Raptors,H,9
Indiana Pacers,New York Knicks,H,11
Miami Heat,New Orleans Pelicans,A,6
Washington Wizards,Los Angeles Lakers,H,18
Milwaukee Bucks,Detroit Pistons,A,3
Golden State Warriors,Memphis Grizzlies,H,17
Houston Rockets,Utah Jazz,H,5
Portland Trail Blazers,Los Angeles Clippers,A,4
Minnesota Timberwolves,Sacramento Kings,H,27
Phoenix Suns,New York Knicks,A,18
Oklahoma City Thunder,Chicago Bulls,H,25
San Antonio Spurs,Philadelphia 76ers,H,27
Atlanta Hawks,Washington Wizards,H,8
Brooklyn Nets,Los Angeles Lakers,H,5
Denver Nuggets,Dallas Mavericks,H,8
Cleveland Cavaliers,Indiana Pacers,A,1
Phoenix Suns,Boston Celtics,A,8
Brooklyn Nets,Chicago Bulls,A,3
Charlotte Hornets,Cleveland Cavaliers,H,11
Houston Rockets,Washington Wizards,H,18
Milwaukee Bucks,New Orleans Pelicans,H,8
Detroit Pistons,Minnesota Timberwolves,A,6
San Antonio Spurs,Orlando Magic,A,39
Philadelphia 76ers,New York Knicks,H,22
Portland Trail Blazers,Memphis Grizzlies,H,7
Oklahoma City Thunder,Sacramento Kings,A,19
Toronto Raptors,Indiana Pacers,H,3
Utah Jazz,Golden State Warriors,H,5
Los Angeles Clippers,Dallas Mavericks,H,4
Miami Heat,Houston Rockets,H,2
Milwaukee Bucks,Boston Celtics,A,13
Indiana Pacers,Brooklyn Nets,A,8
Chicago Bulls,Orlando Magic,H,10
Charlotte Hornets,Detroit Pistons,H,12
Los Angeles Lakers,New Orleans Pelicans,H,8
Atlanta Hawks,New York Knicks,A,7
Utah Jazz,Portland Trail Blazers,A,30
Sacramento Kings,Memphis Grizzlies,H,3
San Antonio Spurs,Minnesota Timberwolves,H,26
Toronto Raptors,Cleveland Cavaliers,H,16
Golden State Warriors,Dallas Mavericks,H,4
Houston Rockets,San Antonio Spurs,H,7
Los Angeles Clippers,Denver Nuggets,H,21
Miami Heat,Milwaukee Bucks,H,7
Philadelphia 76ers,Toronto Raptors,H,25
Oklahoma City Thunder,Utah Jazz,A,1
Washington Wizards,Phoenix Suns,H,3
Boston Celtics,Charlotte Hornets,H,16
Brooklyn Nets,Phoenix Suns,H,8
Chicago Bulls,Cleveland Cavaliers,A,20
Atlanta Hawks,Detroit Pistons,A,3
Golden State Warriors,Los Angeles Clippers,H,2
Indiana Pacers,Washington Wizards,H,16
Memphis Grizzlies,Los Angeles Lakers,A,8
Minnesota Timberwolves,Oklahoma City Thunder,A,2
Miami Heat,Orlando Magic,A,24
Portland Trail Blazers,Dallas Mavericks,H,3
Sacramento Kings,New Orleans Pelicans,H,5
Boston Celtics,Philadelphia 76ers,H,7
Los Angeles Lakers,Golden State Warriors,A,26
Houston Rockets,Oklahoma City Thunder,H,4
Milwaukee Bucks,New York Knicks,A,14
Utah Jazz,Portland Trail Blazers,H,21
Indiana Pacers,Atlanta Hawks,A,8
Brooklyn Nets,Charlotte Hornets,H,2
Minnesota Timberwolves,Chicago Bulls,A,25
Dallas Mavericks,New Orleans Pelicans,H,3
Detroit Pistons,Washington Wizards,H,11
Los Angeles Clippers,Sacramento Kings,H,9
Memphis Grizzlies,Cleveland Cavaliers,H,8
Toronto Raptors,Miami Heat,A,2
Phoenix Suns,Orlando Magic,A,2
San Antonio Spurs,Denver Nuggets,H,8
Portland Trail Blazers,Golden State Warriors,A,1
Houston Rockets,Boston Celtics,H,14
Milwaukee Bucks,New York Knicks,H,16
Sacramento Kings,Los Angeles Lakers,H,1
Philadelphia 76ers,Utah Jazz,A,17
Charlotte Hornets,Brooklyn Nets,H,13
Denver Nuggets,San Antonio Spurs,H,3
Indiana Pacers,Detroit Pistons,H,37
Los Angeles Clippers,Los Angeles Lakers,A,11
Miami Heat,Cleveland Cavaliers,H,24
Atlanta Hawks,Minnesota Timberwolves,A,3
New Orleans Pelicans,Dallas Mavericks,H,2
Orlando Magic,Toronto Raptors,H,29
Oklahoma City Thunder,Phoenix Suns,A,16
Chicago Bulls,Washington Wizards,A,9
Atlanta Hawks,Cleveland Cavaliers,H,3
San Antonio Spurs,Los Angeles Clippers,A,11
Boston Celtics,Memphis Grizzlies,A,9
Milwaukee Bucks,Brooklyn Nets,H,14
Houston Rockets,New Orleans Pelicans,A,4
Denver Nuggets,Phoenix Suns,A,4
Golden State Warriors,Portland Trail Blazers,A,10
Utah Jazz,New York Knicks,H,32
Washington Wizards,Charlotte Hornets,H,4
Dallas Mavericks,Oklahoma City Thunder,H,2
Los Angeles Lakers,Sacramento Kings,H,7
Minnesota Timberwolves,Miami Heat,A,9
Orlando Magic,Detroit Pistons,H,2
Portland Trail Blazers,Philadelphia 76ers,H,34
Toronto Raptors,Chicago Bulls,H,6
Charlotte Hornets,Orlando Magic,H,25
Houston Rockets,Memphis Grizzlies,H,12
Indiana Pacers,Atlanta Hawks,H,8
New Orleans Pelicans,Minnesota Timberwolves,H,9
Oklahoma City Thunder,Dallas Mavericks,H,20
Golden State Warriors,Phoenix Suns,A,23
San Antonio Spurs,Boston Celtics,H,9
Denver Nuggets,New York Knicks,H,7
Philadelphia 76ers,Los Angeles Clippers,A,6
Milwaukee Bucks,Detroit Pistons,H,23
Portland Trail Blazers,Sacramento Kings,A,5
Toronto Raptors,Utah Jazz,H,6
Boston Celtics,Minnesota Timberwolves,H,13
Brooklyn Nets,New Orleans Pelicans,H,5
Orlando Magic,Chicago Bulls,A,28
Dallas Mavericks,Charlotte Hornets,A,38
Miami Heat,Cleveland Cavaliers,A,25
Oklahoma City Thunder,Los Angeles Lakers,A,7
Detroit Pistons,Memphis Grizzlies,A,7
Philadelphia 76ers,Phoenix Suns,A,5
Washington Wizards,Atlanta Hawks,H,16
Houston Rockets,Golden State Warriors,A,1
Denver Nuggets,Sacramento Kings,A,4
San Antonio Spurs,Toronto Raptors,H,18
Boston Celtics,Dallas Mavericks,H,21
Indiana Pacers,Chicago Bulls,A,3
Utah Jazz,Cleveland Cavaliers,A,26
New York Knicks,Los Angeles Lakers,A,7
Brooklyn Nets,Memphis Grizzlies,A,9
Miami Heat,Washington Wizards,H,6
Milwaukee Bucks,Atlanta Hawks,H,32
Minnesota Timberwolves,Orlando Magic,H,17
Los Angeles Clippers,Phoenix Suns,A,10
Oklahoma City Thunder,Portland Trail Blazers,A,2
New Orleans Pelicans,Cleveland Cavaliers,A,35
Denver Nuggets,Charlotte Hornets,H,13
Utah Jazz,Detroit Pistons,A,5
Toronto Raptors,Milwaukee Bucks,A,7
Philadelphia 76ers,Dallas Mavericks,H,6
Portland Trail Blazers,Houston Rockets,H,9
Golden State Warriors,Sacramento Kings,A,4
San Antonio Spurs,Memphis Grizzlies,H,20
Atlanta Hawks,Miami Heat,H,24
Brooklyn Nets,Chicago Bulls,A,17
Los Angeles Clippers,Orlando Magic,H,10
Minnesota Timberwolves,Los Angeles Lakers,H,22
Washington Wizards,Oklahoma City Thunder,A,18
Charlotte Hornets,Phoenix Suns,A,6
Toronto Raptors,Indiana Pacers,H,16
Boston Celtics,Brooklyn Nets,H,21
Los Angeles Lakers,Dallas Mavericks,A,10
San Antonio Spurs,Detroit Pistons,A,12
Houston Rockets,Denver Nuggets,H,12
Milwaukee Bucks,Utah Jazz,H,12
New Orleans Pelicans,Memphis Grizzlies,H,19
Portland Trail Blazers,New York Knicks,H,10
Sacramento Kings,Orlando Magic,H,16
Indiana Pacers,Cleveland Cavaliers,A,8
Golden State Warriors,New York Knicks,H,27
