win_T,lose_T,win_L,diff
Boston Celtics,Philadelphia 76ers,H,18
Golden State Warriors,Oklahoma City Thunder,H,8
Milwaukee Bucks,Charlotte Hornets,A,1
Detroit Pistons,Brooklyn Nets,H,3
New Orleans Pelicans,Houston Rockets,A,19
Indiana Pacers,Memphis Grizzlies,H,28
Denver Nuggets,Los Angeles Clippers,A,9
New York Knicks,Atlanta Hawks,H,19
Orlando Magic,Miami Heat,H,3
Phoenix Suns,Dallas Mavericks,H,21
Utah Jazz,Sacramento Kings,A,6
San Antonio Spurs,Minnesota Timberwolves,H,4
Toronto Raptors,Cleveland Cavaliers,H,12
Philadelphia 76ers,Chicago Bulls,H,19
Portland Trail Blazers,Los Angeles Lakers,H,9
Miami Heat,Washington Wizards,A,1
Brooklyn Nets,New York Knicks,H,2
Los Angeles Clippers,Oklahoma City Thunder,H,16
Memphis Grizzlies,Atlanta Hawks,H,14
Milwaukee Bucks,Indiana Pacers,H,17
Minnesota Timberwolves,Cleveland Cavaliers,H,8
New Orleans Pelicans,Sacramento Kings,H,20
Charlotte Hornets,Orlando Magic,A,32
Toronto Raptors,Boston Celtics,H,12
Golden State Warriors,Utah Jazz,A,1
Detroit Pistons,Chicago Bulls,A,2
Dallas Mavericks,Minnesota Timberwolves,H,4
Denver Nuggets,Phoenix Suns,H,28
Indiana Pacers,Brooklyn Nets,H,20
Houston Rockets,Los Angeles Lakers,A,9
Charlotte Hornets,Miami Heat,A,1
Boston Celtics,New York Knicks,A,2
Philadelphia 76ers,Orlando Magic,H,1
Portland Trail Blazers,San Antonio Spurs,H,13
Toronto Raptors,Washington Wizards,A,4
Atlanta Hawks,Cleveland Cavaliers,A,22
Denver Nuggets,Golden State Warriors,H,2
Los Angeles Clippers,Houston Rockets,H,3
Sacramento Kings,Oklahoma City Thunder,A,11
Orlando Magic,Boston Celtics,A,3
Dallas Mavericks,Chicago Bulls,H,6
Golden State Warriors,Phoenix Suns,H,20
San Antonio Spurs,Los Angeles Lakers,A,1
Milwaukee Bucks,New York Knicks,H,11
Minnesota Timberwolves,Indiana Pacers,H,10
Washington Wizards,Portland Trail Blazers,A,1
Toronto Raptors,Charlotte Hornets,H,21
Memphis Grizzlies,Utah Jazz,A,8
Denver Nuggets,Sacramento Kings,H,14
Detroit Pistons,Philadelphia 76ers,H,1
New Orleans Pelicans,Los Angeles Clippers,H,7
Atlanta Hawks,Dallas Mavericks,H,7
Chicago Bulls,Charlotte Hornets,H,2
Brooklyn Nets,Cleveland Cavaliers,A,16
Golden State Warriors,Washington Wizards,H,22
Utah Jazz,Houston Rockets,A,11
