win_T,lose_T,win_L,diff
Los Angeles Lakers,Sacramento Kings,H,13
Portland Trail Blazers,Oklahoma City Thunder,A,11
Miami Heat,Toronto Raptors,A,1
Detroit Pistons,Brooklyn Nets,A,34
Dallas Mavericks,Charlotte Hornets,A,4
Atlanta Hawks,Denver Nuggets,A,13
Los Angeles Clippers,Golden State Warriors,A,19
Houston Rockets,Portland Trail Blazers,H,9
Miami Heat,Indiana Pacers,A,8
Memphis Grizzlies,New Orleans Pelicans,H,3
Milwaukee Bucks,Orlando Magic,H,7
Minnesota Timberwolves,Oklahoma City Thunder,H,16
Chicago Bulls,New York Knicks,A,3
Utah Jazz,Washington Wizards,A,3
Los Angeles Lakers,San Antonio Spurs,H,12
Boston Celtics,Philadelphia 76ers,A,11
Los Angeles Clippers,Sacramento Kings,A,6
Toronto Raptors,Cleveland Cavaliers,H,34
Brooklyn Nets,Atlanta Hawks,A,5
Charlotte Hornets,Utah Jazz,H,11
Denver Nuggets,Memphis Grizzlies,H,9
Indiana Pacers,Cleveland Cavaliers,H,2
Golden State Warriors,Milwaukee Bucks,A,14
Minnesota Timberwolves,New York Knicks,H,10
New Orleans Pelicans,Portland Trail Blazers,H,6
Houston Rockets,Phoenix Suns,A,17
Washington Wizards,Orlando Magic,H,6
Chicago Bulls,Detroit Pistons,H,2
Oklahoma City Thunder,Charlotte Hornets,A,10
Los Angeles Lakers,Dallas Mavericks,A,6
Los Angeles Clippers,Sacramento Kings,H,21
San Antonio Spurs,Denver Nuggets,H,32
Golden State Warriors,Toronto Raptors,A,2
Washington Wizards,Brooklyn Nets,H,6
Miami Heat,Milwaukee Bucks,H,18
Minnesota Timberwolves,Portland Trail Blazers,H,17
New Orleans Pelicans,New York Knicks,A,5
Indiana Pacers,Phoenix Suns,A,23
Atlanta Hawks,San Antonio Spurs,H,3
New York Knicks,Brooklyn Nets,A,15
Chicago Bulls,Miami Heat,H,8
Golden State Warriors,Cleveland Cavaliers,A,10
Charlotte Hornets,Detroit Pistons,A,11
Los Angeles Clippers,Houston Rockets,H,11
Memphis Grizzlies,Los Angeles Lakers,H,9
Oklahoma City Thunder,Sacramento Kings,H,7
Philadelphia 76ers,Toronto Raptors,H,6
Indiana Pacers,Utah Jazz,A,15
Milwaukee Bucks,Washington Wizards,A,9
New Orleans Pelicans,Boston Celtics,A,3
Denver Nuggets,Dallas Mavericks,H,3
Orlando Magic,Minnesota Timberwolves,H,6
Portland Trail Blazers,Phoenix Suns,H,7
Atlanta Hawks,New Orleans Pelicans,H,1
San Antonio Spurs,Brooklyn Nets,A,5
Golden State Warriors,Chicago Bulls,A,7
Charlotte Hornets,Washington Wizards,H,24
Los Angeles Clippers,Denver Nuggets,H,5
Memphis Grizzlies,New York Knicks,H,6
Miami Heat,Milwaukee Bucks,A,5
Oklahoma City Thunder,Los Angeles Lakers,H,24
Utah Jazz,Sacramento Kings,A,15
Toronto Raptors,Detroit Pistons,H,5
Philadelphia 76ers,Boston Celtics,A,9
Cleveland Cavaliers,Orlando Magic,H,1
Houston Rockets,Minnesota Timberwolves,H,18
Portland Trail Blazers,Indiana Pacers,H,14
Brooklyn Nets,Miami Heat,H,6
Phoenix Suns,Denver Nuggets,A,8
Washington Wizards,Detroit Pistons,A,10
Los Angeles Lakers,Indiana Pacers,H,13
Memphis Grizzlies,Sacramento Kings,H,18
Toronto Raptors,San Antonio Spurs,H,3
New York Knicks,Utah Jazz,A,2
Chicago Bulls,Atlanta Hawks,A,16
Miami Heat,Charlotte Hornets,A,1
Oklahoma City Thunder,Cleveland Cavaliers,A,24
Houston Rockets,Golden State Warriors,H,8
Minnesota Timberwolves,Toronto Raptors,H,6
New Orleans Pelicans,Memphis Grizzlies,H,7
Philadelphia 76ers,Milwaukee Bucks,H,22
Portland Trail Blazers,Dallas Mavericks,H,9
Utah Jazz,Los Angeles Clippers,H,12
Orlando Magic,Boston Celtics,A,8
Brooklyn Nets,Detroit Pistons,A,1
Los Angeles Lakers,New York Knicks,H,20
Indiana Pacers,San Antonio Spurs,A,8
Atlanta Hawks,Utah Jazz,H,14
Charlotte Hornets,Sacramento Kings,H,5
Dallas Mavericks,Washington Wizards,H,23
Denver Nuggets,Portland Trail Blazers,H,3
Houston Rockets,Miami Heat,H,9
Minnesota Timberwolves,Los Angeles Clippers,A,8
Memphis Grizzlies,Philadelphia 76ers,H,4
Milwaukee Bucks,Phoenix Suns,H,4
New Orleans Pelicans,Chicago Bulls,H,4
Golden State Warriors,New York Knicks,H,11
Los Angeles Lakers,Boston Celtics,H,1
Oklahoma City Thunder,Brooklyn Nets,H,1
Sacramento Kings,Orlando Magic,A,6
San Antonio Spurs,Cleveland Cavaliers,H,12
Toronto Raptors,Atlanta Hawks,A,15
New Orleans Pelicans,Charlotte Hornets,A,5
Houston Rockets,Dallas Mavericks,A,7
Utah Jazz,Detroit Pistons,A,3
Indiana Pacers,Phoenix Suns,H,15
Boston Celtics,Los Angeles Clippers,A,11
San Antonio Spurs,Memphis Grizzlies,A,23
Philadelphia 76ers,Chicago Bulls,H,14
Portland Trail Blazers,Minnesota Timberwolves,H,9
Denver Nuggets,New York Knicks,H,12
Golden State Warriors,Minnesota Timberwolves,H,13
Sacramento Kings,Miami Heat,A,1
Oklahoma City Thunder,Washington Wizards,H,9
Los Angeles Lakers,Chicago Bulls,A,5
Charlotte Hornets,Atlanta Hawks,H,11
Cleveland Cavaliers,Indiana Pacers,H,7
Portland Trail Blazers,Dallas Mavericks,A,14
Los Angeles Clippers,Memphis Grizzlies,A,9
Milwaukee Bucks,Brooklyn Nets,H,25
New Orleans Pelicans,Houston Rockets,H,2
New York Knicks,Phoenix Suns,A,22
Philadelphia 76ers,San Antonio Spurs,A,19
Utah Jazz,Toronto Raptors,A,4
Washington Wizards,Atlanta Hawks,A,25
Denver Nuggets,Dallas Mavericks,H,2
Oklahoma City Thunder,Detroit Pistons,A,13
Golden State Warriors,Boston Celtics,H,4
Indiana Pacers,Orlando Magic,H,2
Miami Heat,Charlotte Hornets,H,4
Minnesota Timberwolves,Brooklyn Nets,H,14
Milwaukee Bucks,Chicago Bulls,A,14
Cleveland Cavaliers,Detroit Pistons,H,17
Houston Rockets,Phoenix Suns,H,11
Los Angeles Clippers,New Orleans Pelicans,A,9
Oklahoma City Thunder,Philadelphia 76ers,H,10
San Antonio Spurs,Sacramento Kings,H,15
Toronto Raptors,Los Angeles Lakers,H,12
Atlanta Hawks,Minnesota Timberwolves,H,5
Miami Heat,Dallas Mavericks,A,7
Boston Celtics,Denver Nuggets,A,1
Indiana Pacers,Charlotte Hornets,H,9
Memphis Grizzlies,Phoenix Suns,H,11
Milwaukee Bucks,Philadelphia 76ers,H,12
Detroit Pistons,Cleveland Cavaliers,H,11
Houston Rockets,Orlando Magic,H,7
Portland Trail Blazers,Los Angeles Clippers,A,8
Sacramento Kings,New Orleans Pelicans,A,11
New York Knicks,Brooklyn Nets,H,16
San Antonio Spurs,Denver Nuggets,H,2
Toronto Raptors,Minnesota Timberwolves,H,5
Utah Jazz,Golden State Warriors,H,30
Washington Wizards,Oklahoma City Thunder,H,6
Charlotte Hornets,Atlanta Hawks,A,13
Boston Celtics,New York Knicks,H,30
Brooklyn Nets,Philadelphia 76ers,H,8
Cleveland Cavaliers,Miami Heat,H,2
Indiana Pacers,Memphis Grizzlies,H,4
Orlando Magic,Los Angeles Lakers,H,22
Phoenix Suns,Dallas Mavericks,H,14
Portland Trail Blazers,Chicago Bulls,H,16
Denver Nuggets,Oklahoma City Thunder,H,3
Detroit Pistons,Memphis Grizzlies,H,2
Minnesota Timberwolves,Milwaukee Bucks,H,19
Houston Rockets,San Antonio Spurs,A,11
Washington Wizards,Toronto Raptors,H,3
Boston Celtics,Atlanta Hawks,H,9
Los Angeles Lakers,Brooklyn Nets,A,3
Charlotte Hornets,Indiana Pacers,H,7
Milwaukee Bucks,New York Knicks,H,2
New Orleans Pelicans,Oklahoma City Thunder,A,14
Philadelphia 76ers,Miami Heat,H,6
Utah Jazz,Phoenix Suns,A,32
Golden State Warriors,Sacramento Kings,A,15
Toronto Raptors,Portland Trail Blazers,H,25
Houston Rockets,Cleveland Cavaliers,A,32
Denver Nuggets,Golden State Warriors,H,7
Detroit Pistons,Miami Heat,H,4
Indiana Pacers,Philadelphia 76ers,H,8
Los Angeles Clippers,Chicago Bulls,H,10
Minnesota Timberwolves,New Orleans Pelicans,H,11
Washington Wizards,Orlando Magic,A,17
Dallas Mavericks,Sacramento Kings,A,7
Utah Jazz,San Antonio Spurs,A,9
Boston Celtics,Portland Trail Blazers,H,1
Milwaukee Bucks,Brooklyn Nets,A,15
Atlanta Hawks,New York Knicks,A,3
Los Angeles Lakers,Oklahoma City Thunder,A,4
Charlotte Hornets,Phoenix Suns,A,5
Toronto Raptors,Memphis Grizzlies,H,15
Denver Nuggets,Charlotte Hornets,H,17
Detroit Pistons,Portland Trail Blazers,H,20
Washington Wizards,Indiana Pacers,A,9
Los Angeles Clippers,Dallas Mavericks,H,3
Orlando Magic,Miami Heat,A,2
Utah Jazz,New Orleans Pelicans,A,24
Sacramento Kings,Chicago Bulls,H,6
Atlanta Hawks,Memphis Grizzlies,H,26
Houston Rockets,Brooklyn Nets,A,10
Oklahoma City Thunder,Golden State Warriors,A,20
Los Angeles Lakers,Phoenix Suns,H,19
Milwaukee Bucks,New York Knicks,A,14
Orlando Magic,Cleveland Cavaliers,H,18
Philadelphia 76ers,Washington Wizards,H,13
Toronto Raptors,Boston Celtics,H,20
Cleveland Cavaliers,Minnesota Timberwolves,H,2
Detroit Pistons,Brooklyn Nets,H,9
Utah Jazz,Memphis Grizzlies,A,4
Houston Rockets,Miami Heat,A,8
San Antonio Spurs,Phoenix Suns,A,48
Golden State Warriors,Dallas Mavericks,H,18
Los Angeles Lakers,Oklahoma City Thunder,H,25
Orlando Magic,Atlanta Hawks,H,2
Portland Trail Blazers,Charlotte Hornets,H,6
Toronto Raptors,New York Knicks,H,25
Boston Celtics,Washington Wizards,A,6
Cleveland Cavaliers,Atlanta Hawks,A,16
Indiana Pacers,Boston Celtics,A,6
Chicago Bulls,Minnesota Timberwolves,H,1
Los Angeles Clippers,Detroit Pistons,A,13
Houston Rockets,Denver Nuggets,H,26
Miami Heat,Milwaukee Bucks,H,6
Philadelphia 76ers,New Orleans Pelicans,H,18
Portland Trail Blazers,Sacramento Kings,A,18
Utah Jazz,Charlotte Hornets,H,12
New Orleans Pelicans,Brooklyn Nets,A,10
Washington Wizards,Chicago Bulls,A,11
Dallas Mavericks,Los Angeles Lakers,H,7
Golden State Warriors,San Antonio Spurs,H,17
Milwaukee Bucks,Orlando Magic,A,7
Philadelphia 76ers,Los Angeles Clippers,H,14
Denver Nuggets,Phoenix Suns,A,10
Atlanta Hawks,Detroit Pistons,H,3
Cleveland Cavaliers,Boston Celtics,A,22
Toronto Raptors,Charlotte Hornets,A,20
Houston Rockets,Dallas Mavericks,H,7
Indiana Pacers,New York Knicks,H,8
Minnesota Timberwolves,Sacramento Kings,H,5
Oklahoma City Thunder,Memphis Grizzlies,H,18
Utah Jazz,Portland Trail Blazers,A,19
Los Angeles Clippers,Brooklyn Nets,A,13
Chicago Bulls,Orlando Magic,H,4
New Orleans Pelicans,Detroit Pistons,A,15
Golden State Warriors,Phoenix Suns,H,46
Philadelphia 76ers,New York Knicks,H,16
Utah Jazz,San Antonio Spurs,H,2
Sacramento Kings,Dallas Mavericks,A,5
Denver Nuggets,San Antonio Spurs,H,8
Milwaukee Bucks,Atlanta Hawks,H,5
Houston Rockets,Minnesota Timberwolves,A,18
Cleveland Cavaliers,Oklahoma City Thunder,A,8
Toronto Raptors,Miami Heat,H,3
Los Angeles Clippers,Boston Celtics,A,10
Indiana Pacers,Brooklyn Nets,A,5
Toronto Raptors,Chicago Bulls,A,24
Detroit Pistons,Atlanta Hawks,H,6
Houston Rockets,Sacramento Kings,H,9
Oklahoma City Thunder,Memphis Grizzlies,A,7
New Orleans Pelicans,Los Angeles Lakers,H,22
Washington Wizards,New York Knicks,A,5
Charlotte Hornets,Orlando Magic,A,2
Philadelphia 76ers,Miami Heat,H,2
Portland Trail Blazers,Golden State Warriors,H,6
Utah Jazz,Phoenix Suns,H,10
Denver Nuggets,Milwaukee Bucks,A,11
Minnesota Timberwolves,Los Angeles Lakers,H,8
Philadelphia 76ers,Chicago Bulls,A,1
Charlotte Hornets,Brooklyn Nets,H,15
Washington Wizards,Cleveland Cavaliers,A,7
Golden State Warriors,Los Angeles Clippers,H,7
New York Knicks,Orlando Magic,A,7
Oklahoma City Thunder,Sacramento Kings,A,3
Denver Nuggets,San Antonio Spurs,H,3
Boston Celtics,Detroit Pistons,A,12
Houston Rockets,Minnesota Timberwolves,H,18
Indiana Pacers,Atlanta Hawks,H,23
Los Angeles Lakers,Dallas Mavericks,H,22
Cleveland Cavaliers,Memphis Grizzlies,A,23
New Orleans Pelicans,Miami Heat,H,1
Los Angeles Clippers,Phoenix Suns,A,11
Milwaukee Bucks,Toronto Raptors,A,3
Portland Trail Blazers,Utah Jazz,A,19
Charlotte Hornets,Washington Wizards,A,17
Golden State Warriors,Oklahoma City Thunder,H,32
Miami Heat,Memphis Grizzlies,H,26
Minnesota Timberwolves,Chicago Bulls,H,18
Boston Celtics,New York Knicks,A,9
Philadelphia 76ers,Orlando Magic,H,11
Portland Trail Blazers,Phoenix Suns,A,2
Los Angeles Lakers,Sacramento Kings,A,5
Utah Jazz,Dallas Mavericks,H,7
Charlotte Hornets,Detroit Pistons,H,16
San Antonio Spurs,Cleveland Cavaliers,A,16
Houston Rockets,Denver Nuggets,A,5
New Orleans Pelicans,Milwaukee Bucks,A,2
Washington Wizards,Philadelphia 76ers,H,15
Los Angeles Lakers,Atlanta Hawks,A,19
Boston Celtics,Memphis Grizzlies,H,11
Brooklyn Nets,Chicago Bulls,H,17
Dallas Mavericks,Indiana Pacers,H,6
New Orleans Pelicans,Phoenix Suns,H,9
Golden State Warriors,New York Knicks,A,14
Oklahoma City Thunder,Orlando Magic,H,7
Minnesota Timberwolves,Sacramento Kings,A,18
Toronto Raptors,Detroit Pistons,H,29
Houston Rockets,Utah Jazz,A,11
Charlotte Hornets,Chicago Bulls,H,15
Cleveland Cavaliers,Brooklyn Nets,H,6
Los Angeles Clippers,Denver Nuggets,A,2
Miami Heat,Philadelphia 76ers,H,1
Washington Wizards,Milwaukee Bucks,A,3
Portland Trail Blazers,Sacramento Kings,H,17
Atlanta Hawks,Indiana Pacers,H,5
Boston Celtics,Charlotte Hornets,H,28
Oklahoma City Thunder,Dallas Mavericks,A,1
Detroit Pistons,Milwaukee Bucks,H,23
Houston Rockets,Los Angeles Clippers,A,13
Phoenix Suns,Memphis Grizzlies,A,8
Toronto Raptors,Orlando Magic,A,13
New Orleans Pelicans,San Antonio Spurs,A,5
Golden State Warriors,Washington Wizards,A,8
Philadelphia 76ers,Cleveland Cavaliers,A,11
Los Angeles Lakers,Miami Heat,A,18
Portland Trail Blazers,Minnesota Timberwolves,H,9
Sacramento Kings,Brooklyn Nets,H,5
Golden State Warriors,Atlanta Hawks,A,5
Chicago Bulls,Dallas Mavericks,H,8
Los Angeles Clippers,New York Knicks,H,23
Denver Nuggets,Memphis Grizzlies,A,6
Indiana Pacers,Milwaukee Bucks,A,7
Orlando Magic,Detroit Pistons,H,9
Philadelphia 76ers,Charlotte Hornets,H,11
Oklahoma City Thunder,Phoenix Suns,A,8
Utah Jazz,Minnesota Timberwolves,H,8
Toronto Raptors,Washington Wizards,A,7
Denver Nuggets,Cleveland Cavaliers,A,9
Houston Rockets,Boston Celtics,H,3
Miami Heat,Detroit Pistons,H,9
Orlando Magic,Memphis Grizzlies,H,7
Portland Trail Blazers,Oklahoma City Thunder,H,8
Utah Jazz,Sacramento Kings,A,7
Los Angeles Lakers,San Antonio Spurs,A,4
Atlanta Hawks,Phoenix Suns,H,1
New Orleans Pelicans,Dallas Mavericks,A,17
Los Angeles Clippers,Brooklyn Nets,H,3
Milwaukee Bucks,Philadelphia 76ers,H,8
Sacramento Kings,New York Knicks,H,3
Toronto Raptors,Charlotte Hornets,H,5
Indiana Pacers,Washington Wizards,A,3
Boston Celtics,Chicago Bulls,A,16
Cleveland Cavaliers,Detroit Pistons,H,22
Indiana Pacers,Milwaukee Bucks,H,3
Portland Trail Blazers,Los Angeles Lakers,A,5
Miami Heat,Phoenix Suns,H,22
San Antonio Spurs,Memphis Grizzlies,H,2
Utah Jazz,Orlando Magic,H,14
Philadelphia 76ers,Charlotte Hornets,A,14
Dallas Mavericks,Denver Nuggets,H,11
Golden State Warriors,Brooklyn Nets,H,13
New Orleans Pelicans,Los Angeles Clippers,A,5
Houston Rockets,Oklahoma City Thunder,A,10
Portland Trail Blazers,New York Knicks,H,24
Toronto Raptors,Atlanta Hawks,H,16
Washington Wizards,Miami Heat,H,4
Chicago Bulls,Memphis Grizzlies,H,9
Cleveland Cavaliers,Denver Nuggets,A,5
Toronto Raptors,Detroit Pistons,A,2
Utah Jazz,Indiana Pacers,A,20
Los Angeles Lakers,Orlando Magic,H,1
Houston Rockets,Milwaukee Bucks,A,11
New Orleans Pelicans,Sacramento Kings,A,13
Brooklyn Nets,Charlotte Hornets,A,14
Golden State Warriors,San Antonio Spurs,H,3
Miami Heat,Philadelphia 76ers,H,9
Boston Celtics,Minnesota Timberwolves,A,8
Oklahoma City Thunder,Phoenix Suns,H,28
Denver Nuggets,Los Angeles Lakers,H,9
Detroit Pistons,Chicago Bulls,H,16
Indiana Pacers,Atlanta Hawks,H,25
Los Angeles Clippers,Cleveland Cavaliers,H,14
Utah Jazz,Memphis Grizzlies,A,17
Milwaukee Bucks,New York Knicks,H,8
Washington Wizards,New Orleans Pelicans,A,19
Portland Trail Blazers,Golden State Warriors,H,17
Sacramento Kings,Orlando Magic,H,6
Toronto Raptors,Houston Rockets,H,3
Charlotte Hornets,Phoenix Suns,H,7
Dallas Mavericks,Memphis Grizzlies,H,34
Los Angeles Clippers,Orlando Magic,H,8
Miami Heat,Washington Wizards,H,27
Oklahoma City Thunder,San Antonio Spurs,H,10
Chicago Bulls,Atlanta Hawks,A,7
Indiana Pacers,Boston Celtics,A,2
Philadelphia 76ers,Brooklyn Nets,A,23
Houston Rockets,Dallas Mavericks,A,23
Denver Nuggets,Sacramento Kings,H,26
Los Angeles Lakers,Cleveland Cavaliers,H,14
Minnesota Timberwolves,Golden State Warriors,H,6
Utah Jazz,New Orleans Pelicans,A,17
Toronto Raptors,New York Knicks,A,26
Houston Rockets,San Antonio Spurs,H,16
Milwaukee Bucks,Memphis Grizzlies,A,18
Oklahoma City Thunder,Sacramento Kings,H,5
Portland Trail Blazers,Miami Heat,H,16
Oklahoma City Thunder,Atlanta Hawks,A,12
Toronto Raptors,Brooklyn Nets,A,14
Los Angeles Clippers,Chicago Bulls,A,6
Los Angeles Lakers,Denver Nuggets,H,9
New Orleans Pelicans,Charlotte Hornets,H,4
Dallas Mavericks,New York Knicks,A,13
Indiana Pacers,Philadelphia 76ers,A,3
Cleveland Cavaliers,Phoenix Suns,A,22
San Antonio Spurs,Orlando Magic,H,36
Utah Jazz,Detroit Pistons,H,31
Minnesota Timberwolves,Washington Wizards,A,5
Washington Wizards,Boston Celtics,A,1
Golden State Warriors,Los Angeles Lakers,H,11
Orlando Magic,Milwaukee Bucks,H,9
Sacramento Kings,Miami Heat,H,4
Charlotte Hornets,Atlanta Hawks,A,12
Denver Nuggets,Detroit Pistons,H,7
Houston Rockets,Los Angeles Clippers,H,5
Toronto Raptors,Indiana Pacers,A,7
Chicago Bulls,Memphis Grizzlies,A,1
Philadelphia 76ers,New York Knicks,A,8
Portland Trail Blazers,Cleveland Cavaliers,H,8
San Antonio Spurs,New Orleans Pelicans,H,5
Utah Jazz,Phoenix Suns,H,28
Sacramento Kings,Golden State Warriors,A,5
Miami Heat,Los Angeles Lakers,A,1
Oklahoma City Thunder,Los Angeles Clippers,H,8
Boston Celtics,Orlando Magic,A,9
Philadelphia 76ers,Brooklyn Nets,H,4
Toronto Raptors,Dallas Mavericks,H,7
Brooklyn Nets,Dallas Mavericks,H,8
Cleveland Cavaliers,Chicago Bulls,A,5
Memphis Grizzlies,Denver Nuggets,H,7
Milwaukee Bucks,Atlanta Hawks,H,5
Houston Rockets,New Orleans Pelicans,A,6
New York Knicks,Charlotte Hornets,H,23
Golden State Warriors,Phoenix Suns,A,15
Portland Trail Blazers,Detroit Pistons,H,13
San Antonio Spurs,Minnesota Timberwolves,H,16
Utah Jazz,Sacramento Kings,H,6
Washington Wizards,Indiana Pacers,H,7
Portland Trail Blazers,Los Angeles Clippers,A,13
Houston Rockets,Minnesota Timberwolves,A,9
New Orleans Pelicans,Boston Celtics,H,19
Oklahoma City Thunder,Toronto Raptors,A,7
Brooklyn Nets,Memphis Grizzlies,H,3
Cleveland Cavaliers,Milwaukee Bucks,H,7
Indiana Pacers,Los Angeles Lakers,H,10
Miami Heat,Denver Nuggets,H,8
New York Knicks,Chicago Bulls,H,18
Philadelphia 76ers,Charlotte Hornets,H,14
Detroit Pistons,Sacramento Kings,A,16
San Antonio Spurs,Golden State Warriors,H,14
Boston Celtics,Oklahoma City Thunder,H,1
Minnesota Timberwolves,Los Angeles Clippers,H,14
New Orleans Pelicans,Dallas Mavericks,H,10
Toronto Raptors,Orlando Magic,A,7
Detroit Pistons,Phoenix Suns,A,27
Houston Rockets,Portland Trail Blazers,A,4
Atlanta Hawks,Utah Jazz,A,5
Charlotte Hornets,Brooklyn Nets,A,6
Denver Nuggets,Chicago Bulls,A,33
Cleveland Cavaliers,Toronto Raptors,H,3
Miami Heat,New York Knicks,H,21
Los Angeles Clippers,Milwaukee Bucks,A,7
New Orleans Pelicans,Indiana Pacers,H,4
Philadelphia 76ers,Memphis Grizzlies,H,14
San Antonio Spurs,Washington Wizards,H,8
Charlotte Hornets,Memphis Grizzlies,H,61
Utah Jazz,Dallas Mavericks,A,7
Houston Rockets,Detroit Pistons,H,4
New Orleans Pelicans,Los Angeles Lakers,H,3
Philadelphia 76ers,Orlando Magic,A,20
Sacramento Kings,Atlanta Hawks,H,15
Milwaukee Bucks,Chicago Bulls,A,13
Cleveland Cavaliers,Phoenix Suns,H,25
Golden State Warriors,Atlanta Hawks,H,12
Indiana Pacers,Los Angeles Clippers,H,5
Minnesota Timberwolves,New York Knicks,A,4
Oklahoma City Thunder,Miami Heat,H,6
Boston Celtics,Portland Trail Blazers,A,5
San Antonio Spurs,Utah Jazz,H,4
Toronto Raptors,Brooklyn Nets,H,4
Denver Nuggets,Washington Wizards,A,8
Charlotte Hornets,Dallas Mavericks,A,4
Detroit Pistons,Chicago Bulls,H,22
Houston Rockets,New Orleans Pelicans,H,23
Los Angeles Lakers,Memphis Grizzlies,A,7
Orlando Magic,Phoenix Suns,H,6
Philadelphia 76ers,Minnesota Timberwolves,H,12
Cleveland Cavaliers,Brooklyn Nets,A,7
Utah Jazz,Golden State Warriors,A,19
Houston Rockets,Atlanta Hawks,H,19
Indiana Pacers,Miami Heat,H,6
Milwaukee Bucks,San Antonio Spurs,H,3
Portland Trail Blazers,Oklahoma City Thunder,A,3
Boston Celtics,Sacramento Kings,A,11
Los Angeles Clippers,Toronto Raptors,A,11
New York Knicks,Washington Wizards,A,4
Charlotte Hornets,New York Knicks,H,9
Detroit Pistons,Los Angeles Lakers,H,6
Memphis Grizzlies,Minnesota Timberwolves,A,8
Philadelphia 76ers,Denver Nuggets,H,19
Boston Celtics,Phoenix Suns,A,8
Indiana Pacers,Golden State Warriors,A,11
Houston Rockets,Chicago Bulls,H,32
Los Angeles Clippers,Milwaukee Bucks,H,7
Miami Heat,Cleveland Cavaliers,H,19
Portland Trail Blazers,New Orleans Pelicans,A,4
Dallas Mavericks,Sacramento Kings,A,6
Toronto Raptors,Denver Nuggets,H,4
Washington Wizards,San Antonio Spurs,H,10
Cleveland Cavaliers,Charlotte Hornets,A,13
Los Angeles Lakers,Dallas Mavericks,H,10
Memphis Grizzlies,Portland Trail Blazers,H,5
Minnesota Timberwolves,Atlanta Hawks,H,12
Brooklyn Nets,Orlando Magic,A,7
Philadelphia 76ers,New York Knicks,H,17
Los Angeles Clippers,Phoenix Suns,A,12
Boston Celtics,Utah Jazz,A,3
Detroit Pistons,Washington Wizards,H,11
Milwaukee Bucks,Golden State Warriors,A,9
Miami Heat,Chicago Bulls,H,11
Indiana Pacers,Sacramento Kings,A,3
San Antonio Spurs,Oklahoma City Thunder,H,4
Philadelphia 76ers,Atlanta Hawks,A,10
Cleveland Cavaliers,New Orleans Pelicans,H,5
Minnesota Timberwolves,Dallas Mavericks,A,1
Houston Rockets,Phoenix Suns,H,1
Milwaukee Bucks,Los Angeles Lakers,A,2
Denver Nuggets,Oklahoma City Thunder,A,1
Chicago Bulls,Orlando Magic,A,8
Portland Trail Blazers,Los Angeles Clippers,H,9
Utah Jazz,Memphis Grizzlies,H,10
Boston Celtics,Toronto Raptors,H,11
Brooklyn Nets,Miami Heat,A,1
Detroit Pistons,New York Knicks,A,6
Golden State Warriors,Sacramento Kings,A,16
Washington Wizards,Charlotte Hornets,H,14
Atlanta Hawks,Orlando Magic,H,6
Detroit Pistons,Brooklyn Nets,A,12
Chicago Bulls,Washington Wizards,H,19
Philadelphia 76ers,Charlotte Hornets,A,17
Cleveland Cavaliers,Dallas Mavericks,H,11
Denver Nuggets,Milwaukee Bucks,H,3
Golden State Warriors,Phoenix Suns,H,10
Indiana Pacers,Los Angeles Clippers,A,7
Sacramento Kings,Los Angeles Lakers,A,1
Utah Jazz,Minnesota Timberwolves,A,24
Oklahoma City Thunder,New Orleans Pelicans,A,5
Portland Trail Blazers,Memphis Grizzlies,H,15
San Antonio Spurs,Houston Rockets,H,17
Chicago Bulls,Charlotte Hornets,H,6
Cleveland Cavaliers,Toronto Raptors,H,6
Dallas Mavericks,Portland Trail Blazers,H,6
Denver Nuggets,Indiana Pacers,H,3
Houston Rockets,Washington Wizards,H,16
Los Angeles Clippers,San Antonio Spurs,H,3
Miami Heat,Atlanta Hawks,H,3
Milwaukee Bucks,Boston Celtics,H,4
Orlando Magic,New York Knicks,A,24
Golden State Warriors,Oklahoma City Thunder,A,4
Philadelphia 76ers,Brooklyn Nets,H,26
Phoenix Suns,Sacramento Kings,H,3
Utah Jazz,Los Angeles Lakers,H,7
Miami Heat,Atlanta Hawks,A,29
Philadelphia 76ers,Detroit Pistons,A,7
Los Angeles Lakers,San Antonio Spurs,H,10
New Orleans Pelicans,Memphis Grizzlies,H,28
Orlando Magic,Dallas Mavericks,H,5
Toronto Raptors,Boston Celtics,H,18
Cleveland Cavaliers,Washington Wizards,H,4
Denver Nuggets,Minnesota Timberwolves,H,4
Houston Rockets,Portland Trail Blazers,H,2
Indiana Pacers,Golden State Warriors,H,20
Brooklyn Nets,Milwaukee Bucks,A,8
Utah Jazz,Los Angeles Clippers,H,22
Boston Celtics,Chicago Bulls,H,7
Detroit Pistons,Dallas Mavericks,H,7
Minnesota Timberwolves,Los Angeles Lakers,A,17
Sacramento Kings,Memphis Grizzlies,A,1
New York Knicks,Miami Heat,H,24
Charlotte Hornets,Orlando Magic,A,37
Philadelphia 76ers,Cleveland Cavaliers,H,2
New Orleans Pelicans,Phoenix Suns,A,19
Toronto Raptors,Indiana Pacers,H,19
Atlanta Hawks,Washington Wizards,A,6
Brooklyn Nets,Chicago Bulls,A,28
New Orleans Pelicans,Golden State Warriors,A,6
Oklahoma City Thunder,Houston Rockets,A,6
Denver Nuggets,Los Angeles Clippers,A,19
Milwaukee Bucks,New York Knicks,A,13
San Antonio Spurs,Portland Trail Blazers,H,11
Atlanta Hawks,Boston Celtics,A,6
Indiana Pacers,Charlotte Hornets,A,6
Utah Jazz,Los Angeles Lakers,A,15
