win_T,lose_T,win_L,diff
Houston Rockets,Utah Jazz,H,27
Miami Heat,Los Angeles Clippers,A,3
Los Angeles Lakers,Memphis Grizzlies,H,5
Minnesota Timberwolves,Charlotte Hornets,H,18
New York Knicks,Indiana Pacers,H,7
Boston Celtics,Orlando Magic,A,16
Portland Trail Blazers,Oklahoma City Thunder,H,4
San Antonio Spurs,Phoenix Suns,H,17
Washington Wizards,Toronto Raptors,A,11
Boston Celtics,Atlanta Hawks,A,3
Golden State Warriors,Miami Heat,H,17
Brooklyn Nets,Phoenix Suns,A,6
Cleveland Cavaliers,Milwaukee Bucks,H,5
Denver Nuggets,Brooklyn Nets,H,8
New Orleans Pelicans,Indiana Pacers,A,5
New York Knicks,Charlotte Hornets,H,5
Memphis Grizzlies,Portland Trail Blazers,A,1
Sacramento Kings,Oklahoma City Thunder,H,8
San Antonio Spurs,Los Angeles Clippers,H,13
Toronto Raptors,Chicago Bulls,H,5
Philadelphia 76ers,Utah Jazz,A,7
Dallas Mavericks,Washington Wizards,A,14
Boston Celtics,Los Angeles Lakers,H,11
Detroit Pistons,Indiana Pacers,H,17
Golden State Warriors,Minnesota Timberwolves,H,24
Orlando Magic,New York Knicks,H,13
Miami Heat,Phoenix Suns,A,11
Denver Nuggets,Oklahoma City Thunder,H,8
Houston Rockets,Cleveland Cavaliers,H,4
Sacramento Kings,Philadelphia 76ers,H,1
Toronto Raptors,New Orleans Pelicans,H,4
Washington Wizards,Los Angeles Lakers,H,16
Boston Celtics,Charlotte Hornets,H,3
Indiana Pacers,Chicago Bulls,A,18
Detroit Pistons,Atlanta Hawks,H,7
Oklahoma City Thunder,Los Angeles Clippers,H,9
Orlando Magic,Phoenix Suns,A,16
Brooklyn Nets,Portland Trail Blazers,A,4
Milwaukee Bucks,San Antonio Spurs,A,7
Miami Heat,Utah Jazz,A,10
Cleveland Cavaliers,Dallas Mavericks,A,7
Denver Nuggets,Orlando Magic,H,18
Golden State Warriors,Philadelphia 76ers,H,21
Houston Rockets,Memphis Grizzlies,H,15
Milwaukee Bucks,Los Angeles Lakers,H,8
New Orleans Pelicans,Los Angeles Clippers,H,8
New York Knicks,Sacramento Kings,H,27
Phoenix Suns,Minnesota Timberwolves,H,8
San Antonio Spurs,Chicago Bulls,H,39
Utah Jazz,Brooklyn Nets,H,8
Washington Wizards,Atlanta Hawks,H,19
Boston Celtics,Toronto Raptors,H,1
Detroit Pistons,Miami Heat,H,9
Houston Rockets,Indiana Pacers,A,23
Oklahoma City Thunder,Dallas Mavericks,H,13
Golden State Warriors,Orlando Magic,H,10
Philadelphia 76ers,Los Angeles Clippers,A,4
Milwaukee Bucks,Memphis Grizzlies,H,7
New Orleans Pelicans,Atlanta Hawks,H,1
